vehicle_id,event_time,battery_level
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-06 20:09:48.817,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-06 18:14:54.018,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-06 16:15:04.037,74.5
3e937810-3a3b-48d6-80ad-56ae12c3bed8,2022-01-06 17:37:35.026,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-06 16:15:04.017,UNKNOWN
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,2022-01-06 15:04:39.147,UNKNOWN
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,2022-01-06 01:37:02.113,71.3
c9c8b7fb-eaa8-4ab5-ba8f-756f15bb8635,2022-01-05 23:55:07.018,UNKNOWN
3e937810-3a3b-48d6-80ad-56ae12c3bed8,2022-01-05 22:29:07.600,UNKNOWN
3e937810-3a3b-48d6-80ad-56ae12c3bed8,2022-01-05 20:14:35.047,UNKNOWN
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,2022-01-05 19:14:19.011,99.6
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-05 16:28:55.017,66.2
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-05 17:45:35.013,UNKNOWN
c9c8b7fb-eaa8-4ab5-ba8f-756f15bb8635,2022-01-05 02:05:23.026,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-04 23:58:53.002,67.0
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-03 20:54:32.009,UNKNOWN
3e937810-3a3b-48d6-80ad-56ae12c3bed8,2022-01-04 23:12:34.018,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-04 19:49:53.006,70.1
3e937810-3a3b-48d6-80ad-56ae12c3bed8,2022-01-04 20:48:54.012,UNKNOWN
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,2022-01-04 03:23:07.007,UNKNOWN
3e937810-3a3b-48d6-80ad-56ae12c3bed8,2022-01-04 19:29:15.003,UNKNOWN
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,2022-01-04 16:36:08.040,39.6
d44b765e-d86f-46f8-ba46-8cd913c49285,2022-01-03 20:48:45.022,UNKNOWN
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,2022-01-04 12:55:32.034,77.2
9893c80d-f282-46cf-a794-280f0306c936,2022-01-03 18:37:19.013,UNKNOWN
460a67ab-ee58-4279-b96d-ac56ac029d3e,2022-01-03 23:01:17.008,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-04 07:01:08.011,UNKNOWN
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,2022-01-03 23:59:22.002,81.1
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-04 03:23:06.009,UNKNOWN
fb20e847-d2a1-4583-b874-393c9d1f3db9,2022-01-04 01:08:18.005,UNKNOWN
c9c8b7fb-eaa8-4ab5-ba8f-756f15bb8635,2022-01-03 21:29:18.027,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-03 23:53:43.010,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-03 23:53:28.028,72.1
3e937810-3a3b-48d6-80ad-56ae12c3bed8,2022-01-03 22:29:28.036,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-03 19:35:25.018,67.0
fb20e847-d2a1-4583-b874-393c9d1f3db9,2022-01-03 19:17:23.013,UNKNOWN
c9c8b7fb-eaa8-4ab5-ba8f-756f15bb8635,2022-01-03 16:51:17.001,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-03 17:02:14.006,74.1
3e937810-3a3b-48d6-80ad-56ae12c3bed8,2022-01-03 16:58:32.002,UNKNOWN
fb20e847-d2a1-4583-b874-393c9d1f3db9,2022-01-03 06:18:13.037,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-02 08:56:46.006,UNKNOWN
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,2022-01-02 21:00:58.002,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-02 18:57:23.255,61.5
